DATASET,COSMIC_ID,DRUG_ID,MIN_CONC,MAX_CONC,RMSE_PUBLISHED,Z_SCORE_PUBLISHED,IC50_PUBLISHED,AUC_PUBLISHED,ARXSPAN_ID,DRUG_NAME,BROAD_ID,upper_limit,ec50,slope,lower_limit,auc,log2.ic50,mse,R2
GDSC1,909697,9,0.003906,1,0.164223,-0.274571,0.64241742,0.806516,ACH-002301,MG-132,BRD-K60230970,0.944439572,0.664149595,-4.503043561,-0.075343748,0.8631732,-0.673127184,0.00024733,0.996766984
GDSC1,909698,9,0.003906,1,0.194383,-0.755822,0.322712644,0.756675,ACH-000943,MG-132,BRD-K60230970,0.960212356,0.346404292,-6.594223953,0.031530458,0.782639957,-1.533362167,0.002558771,0.981254039
GDSC1,909701,9,0.003906,1,0.170794,0.365024,1.603975123,0.884583,ACH-001182,MG-132,BRD-K60230970,0.985297859,0.891240848,-3.235642591,0.035821213,0.937847123,-0.146274224,0.019834464,0.608054538
GDSC1,909702,9,0.003906,1,0.133806,-0.348053,0.57831302,0.851583,ACH-000636,MG-132,BRD-K60230970,1.000165901,0.544240544,-8.583237122,0.060031884,0.896803008,-0.856132809,1.33E-07,0.999998496
GDSC1,909703,9,0.003906,1,0.199701,1.390647,6.956934974,0.978495,ACH-000874,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909711,9,0.003906,1,0.017375,2.124214,19.86934318,0.989597,ACH-002198,MG-132,BRD-K60230970,1.000887696,4.705489774,-1.278781202,0.896743305,0.998573229,,3.70E-05,0.394158406
GDSC1,909712,9,0.003906,1,0.193392,-0.669124,0.365326429,0.759221,ACH-000609,MG-132,BRD-K60230970,0.959032469,0.394214287,-4.915578993,0.051735394,0.806384813,-1.335982134,0.005787089,0.949500131
GDSC1,909713,9,0.003906,1,0.161436,-2.033736,0.051861737,0.474751,ACH-000441,MG-132,BRD-K60230970,0.984351097,0.057482044,-2.024651128,0.098892956,0.528355333,-3.98636812,0.001579919,0.988346927
GDSC1,909715,9,0.003906,1,0.162936,-0.682745,0.358276588,0.803384,ACH-000112,MG-132,BRD-K60230970,1.000157919,0.405873885,-14.0056362,0.019455886,0.840571441,-1.296775726,1.17E-07,0.999999262
GDSC1,909717,9,0.003906,1,0.166814,-0.207375,0.707238733,0.817029,ACH-000748,MG-132,BRD-K60230970,0.894461026,0.749635581,-5.711634403,0.114675103,0.849596163,-0.409819489,0.002485073,0.943545595
GDSC1,909720,9,0.003906,1,0.194738,-0.672682,0.363471642,0.768661,ACH-000145,MG-132,BRD-K60230970,0.96848829,0.580197321,-1.916201423,-0.271342911,0.811559159,-1.160793955,0.023397491,0.803648389
GDSC1,909722,9,0.003906,1,0.035349,0.887104,3.385061248,0.937286,ACH-000373,MG-132,BRD-K60230970,1.000134022,0.240049347,-8.01718157,0.84583715,0.960354331,,3.51E-06,0.999165982
GDSC1,909723,9,0.003906,1,0.027664,2.443055,31.35303272,0.982026,ACH-000465,MG-132,BRD-K60230970,1.000822901,0.23279202,-1.027243465,0.992643125,0.998245009,,1.87E-05,0.221129962
GDSC1,909731,9,0.003906,1,0.148033,-0.75472,0.323221963,0.744135,ACH-001193,MG-132,BRD-K60230970,0.982406798,0.33493661,-2.665019334,0.079943584,0.80116842,-1.503118696,0.001592513,0.984538984
GDSC1,909732,9,0.003906,1,0.202951,-1.486823,0.113408152,0.596207,ACH-000939,MG-132,BRD-K60230970,0.888341728,0.15142061,-3.258126402,0.097489049,0.619026049,-2.739234999,0.019113882,0.855366455
GDSC1,909742,9,0.003906,1,0.108966,-0.285554,0.632402639,0.873012,ACH-000664,MG-132,BRD-K60230970,0.982138644,0.550503493,-11.20461366,0.176783646,0.895428423,-0.809657689,0.000235563,0.99633054
GDSC1,909743,9,0.003906,1,0.028754,1.75147,11.65728143,0.987491,ACH-000953,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909754,9,0.003906,1,0.160162,-0.279858,0.637576506,0.782008,ACH-002309,MG-132,BRD-K60230970,0.950540022,0.601925493,-3.218061343,-0.011920739,0.852814658,-0.789620976,0.00095002,0.986089471
GDSC1,909756,9,0.003906,1,0.185936,-1.041833,0.214346803,0.697925,ACH-002310,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909758,9,0.003906,1,0.16219,0.353164,1.576991629,0.891989,ACH-002200,MG-132,BRD-K60230970,0.975381935,1.235220975,-11.28806721,-5.978760148,0.965591277,-0.029094968,0.000792603,0.97720257
GDSC1,909762,9,0.003906,1,0.064281,1.703023,10.87670123,0.987977,ACH-000197,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909769,9,0.003906,1,0.156502,-0.02597,0.916797188,0.867546,,MG-132,BRD-K60230970,0.98189158,0.585043252,-10.36722376,0.232872818,0.909431441,-0.69128201,0.000482237,0.991182684
GDSC1,909771,9,0.003906,1,0.021195,1.772411,12.01180601,0.992622,ACH-000146,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909773,9,0.003906,1,0.029811,1.539938,8.613364425,0.985638,ACH-002314,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909777,9,0.003906,1,0.266814,-0.387102,0.546892512,0.800345,ACH-001680,MG-132,BRD-K60230970,0.922840384,0.134702252,-3.945394613,0.585823515,0.800996649,,0.055140297,0.285000386
GDSC1,909785,9,0.003906,1,0.039984,1.530284,8.495222953,0.987476,ACH-001709,MG-132,BRD-K60230970,,,,,,,,
GDSC1,909974,9,0.003906,1,0.105392,2.054004,17.97058043,0.944049,ACH-000189,MG-132,BRD-K60230970,1.303418551,4.75E-12,-0.522480127,0.929752602,0.92975528,,0.002954066,-5.24E-05
GDSC1,909975,9,0.003906,1,0.178368,0.043654,1.012816435,0.849786,ACH-000524,MG-132,BRD-K60230970,0.940917309,0.575376529,-10.63636268,0.328452811,0.879839238,-0.669374784,0.00702079,0.838288632
GDSC1,909976,9,0.003906,1,0.171036,-1.129773,0.189007988,0.686007,ACH-000815,MG-132,BRD-K60230970,1.00025679,0.200424519,-6.168187675,0.040570611,0.721969013,-2.2989563,1.83E-05,0.99989691
GDSC1,910401,9,0.003906,1,0.268636,-0.187601,0.727531487,0.866418,ACH-002300,MG-132,BRD-K60230970,8.23376775,5.16E+172,-0.010925592,-587.6165531,0.824516033,,0.075161113,0.220761325
GDSC1,910544,9,0.003906,1,0.240338,0.067739,1.04832222,0.889255,ACH-002302,MG-132,BRD-K60230970,0.984962398,0.440400068,-12.2721856,0.517135497,0.915775571,,0.061373539,0.390728661
GDSC1,910545,9,0.003906,1,0.196063,0.082625,1.070885632,0.881246,ACH-002299,MG-132,BRD-K60230970,0.984240258,0.489174396,-3.510046773,0.442905982,0.912263109,-0.152873496,0.035179621,0.465413232
GDSC1,910546,9,0.003906,1,0.17191,-1.195341,0.172084783,0.670551,ACH-000320,MG-132,BRD-K60230970,0.967876378,0.202227349,-10.8223915,0.075257452,0.710584554,-2.293042629,0.001650918,0.990188255
GDSC1,910554,9,0.003906,1,0.1225,1.034785,4.181395322,0.937535,ACH-000998,MG-132,BRD-K60230970,0.950694811,0.022331338,-19.13281509,0.871865073,0.896649275,,0.000966396,0.587976805
GDSC1,910566,9,0.003906,1,0.180362,-1.10775,0.195057674,0.693014,ACH-000641,MG-132,BRD-K60230970,1.000312741,0.221369742,-10.9548092,0.030989046,0.736539489,-2.166951054,3.67E-05,0.9998001
GDSC1,910567,9,0.003906,1,0.145629,0.181125,1.232938075,0.883579,ACH-000136,MG-132,BRD-K60230970,0.963191064,1.20465642,-5.385001873,-1.194928195,0.940602402,-0.078918455,0.001312594,0.961634818
GDSC1,910568,9,0.003906,1,0.15948,0.211257,1.287248507,0.899104,ACH-001023,MG-132,BRD-K60230970,1.000152592,1.099278098,-9.66701733,-1.269584903,0.985765005,-0.052020943,1.22E-07,0.999997077
GDSC1,910569,9,0.003906,1,0.113369,0.728938,2.699590244,0.95284,ACH-002219,MG-132,BRD-K60230970,0.97148254,37.2870034,-2.036908766,-299.0214307,0.954773067,,0.00696093,0.342269817
GDSC1,910688,9,0.003906,1,0.151882,-1.186295,0.174326378,0.670531,ACH-002218,MG-132,BRD-K60230970,1.00184431,0.193096862,-4.025561184,0.013752617,0.708045913,-2.361287938,2.21E-05,0.999872934
GDSC1,910691,9,0.003906,1,0.068828,0.085857,1.075848874,0.862373,ACH-000864,MG-132,BRD-K60230970,1.001807563,0.284893063,-4.196609271,0.616813228,0.913640673,,1.62E-05,0.999279407
GDSC1,910692,9,0.003906,1,0.169382,1.02825,4.142481482,0.957361,ACH-000803,MG-132,BRD-K60230970,,,,,,,,
